@RELATION tweets
  @ATTRIBUTE id string
  @ATTRIBUTE date_time DATE "yyyy-MM-dd HH:mm:ss"
  @ATTRIBUTE hashtags string
  @ATTRIBUTE retweet {'y', 'n'}
  @ATTRIBUTE retweet_count numeric
  @ATTRIBUTE followers_count numeric
  @ATTRIBUTE likes numeric
  @ATTRIBUTE text_content string


  @DATA
'970298735275069441',"2018-03-04 14:03:40",'Oscars','y',7,13563586,13,"Timelapse shows crews transforming Hollywood's Dolby Theatre to prepare for the #Oscars red carpet.2026 https://t.co/Er1cy4C9LE"
'970298708482035713',"2018-03-04 14:03:34",'Oscars','y',2,2138901,5,"This week2019s #BlackMagicMoments comes to us courtesy of @JordanPeele and his hit movie @GetOutMovie!2026 https://t.co/gwlnyGKS7C"
'970298702760955904',"2018-03-04 14:03:32",'Oscars','n',0,150,0,"My #BestActress pick would be #SallyHawkins. Hawkins was able to bring an engrossing, charming &amp; lovable performanc2026 https://t.co/JrKu4cfleP"
'970298695139975168',"2018-03-04 14:03:30",'Oscars','y',2,2138901,5,"This week2019s #BlackMagicMoments comes to us courtesy of @JordanPeele and his hit movie @GetOutMovie!2026 https://t.co/gwlnyGKS7C"
'970298684327038976',"2018-03-04 14:03:28",'Oscars','y',167,7998,301,"These are the Billboards outside of the #Oscars90 right now! https://t.co/g8eKRRSUnI"
'970298684033265664',"2018-03-04 14:03:28",'Oscars','y',89,25385,248,"Call Me by Your Name 2013 a sun-drenched masterpiece made with one filmstock and one lens in heavy rain. #Oscars902026 https://t.co/IikXIBL94i"
'970298682569453569',"2018-03-04 14:03:27",'Oscars','n',0,15537,0,"Happy Sunday, @CityKitchener! Enjoy the day - breky with friends, @KitchenerCon at City Hall (11-4), Dinner with2026 https://t.co/9Is1QeqEox"
'970298672847179781',"2018-03-04 14:03:25",'Oscars','n',0,4062,0,"It2019s finally #Oscars day and I am so pumped! Follow the blog tonight for all the winners and live coverage as it ha2026 https://t.co/XifFKVyjx7"
'970298662487252992',"2018-03-04 14:03:23",'Oscars','n',0,47,0,"#Oscars90 winner predictions- let2019s hear them..."
'970298640089669637',"2018-03-04 14:03:17",'Oscars','y',7,13563586,13,"Timelapse shows crews transforming Hollywood's Dolby Theatre to prepare for the #Oscars red carpet.2026 https://t.co/Er1cy4C9LE"
'970298630216278019',"2018-03-04 14:03:15",'Oscars','n',2,2138901,5,"This week2019s #BlackMagicMoments comes to us courtesy of @JordanPeele and his hit movie @GetOutMovie!2026 https://t.co/gwlnyGKS7C"
'970298626084925440',"2018-03-04 14:03:14",'Oscars','y',1,3410,1,"What #film will win #BestPicture tonight at the #Oscars2018 ? #PodernFamily #Oscars90"
'970298618820399104',"2018-03-04 14:03:12",'Oscars','y',45,31326,120,"Today's the day! #Oscars #Oscars90 https://t.co/9rAtBuGPbL"
'970298590026399745',"2018-03-04 14:03:05",'Oscars','y',3837,7387,8206,"Revealing my #Oscars90 illustration of this year's @TheAcademy Best Picture Nominations 2018! #Oscars2018 #Oscars https://t.co/k7Uol5iui"
'970298496090869760',"2018-03-04 14:02:43",'Oscars','n',2,14035,1,"Shakespeare's Romeo &amp; Juliet has been seen in film and television countless times, including the 1996 movie adaptat2026 https://t.co/hMAjpMmvka"
'970298491728814082',"2018-03-04 14:02:42",'Oscars','n',0,9174,0,"Tune in after 2 for @PresenterAlex's #Oscars90 special! He will be reviewing 6 of his favourite Best Picture nomina2026 https://t.co/Rj5kNjTlc7"
'970298437542514688',"2018-03-04 14:02:29",'Oscars','n',1,3410,1,"What #film will win #BestPicture tonight at the #Oscars2018 ? #PodernFamily #Oscars90"
'970298435315339264',"2018-03-04 14:02:28",'Oscars','y',394,36396,331,"Retweet if you're planning to #BoycottTheAcademyAwards #OscarNoms #Oscars90 #BoycottOSCARS2018 #Oscars20182026 https://t.co/QgfWwPN1C5"
'970298425140039682',"2018-03-04 14:02:26",'Oscars','n',0,804,0,"And the award for best direction in a cookie goes to2026 F&amp;N ! #Oscars90 https://t.co/tKDC1Dq743"
'970298405368008704',"2018-03-04 14:02:21",'Oscars','y',30,1422376,24,"#Oscars All the runners and riders ahead of the 90th Academy Awards #Oscars90 https://t.co/YLD19PQM5A"
'970298405363871744',"2018-03-04 14:02:21",'Oscars','y',14,1422376,13,"#Oscars2018 Tinseltown 'uncertain' over which film will scoop Best Picture award at 90th Academy Awards #Oscars90 https://t.co/C1kVdkeFB1"
'970298353631289344',"2018-03-04 14:02:09",'Oscars','n',0,373,0,"HOY #Oscars90Honest Trailers - The Oscars (2018) https://t.co/TxVBjjSdoG"
'970298294202261504',"2018-03-04 14:01:55",'Oscars','n',0,49289,0,"Looking good @Lalla_Hirayama! Who will she meet on the #Oscars red carpet? Gary Oldman? Denzel Washington? Greta Ge2026 https://t.co/Ex7Mb2kwNT"
'970298206302154752',"2018-03-04 14:01:34",'Oscars','y',45,31326,120,"Today's the day! #Oscars #Oscars90 https://t.co/9rAtBuGPbL"
'970298200883187713',"2018-03-04 14:01:33",'Oscars','n',0,287,0,"Here2019s a recap of my predictions for #Oscars90 best actress predictions https://t.co/CLvgjLh4Ep - #Oscars Enjoy x https://t.co/UtRxKyRzcd"
'970298193589219328',"2018-03-04 14:01:31",'Oscars','y',45,31326,120,"Today's the day! #Oscars #Oscars90 https://t.co/9rAtBuGPbL"
'970298193136308224',"2018-03-04 14:01:31",'Oscars','y',7,13563586,13,"Timelapse shows crews transforming Hollywood's Dolby Theatre to prepare for the #Oscars red carpet.2026 https://t.co/Er1cy4C9LE"
'970298153353302017',"2018-03-04 14:01:21",'Oscars','n',0,871,0,"#PoliticsNationWe will never forgotTijuana Brawley 201887 rape hoaxer #meetoo #Oscars90"
'970298150169784321',"2018-03-04 14:01:20",'Oscars','y',3,4166,6,"The Cinephile #Oscars90 Confidence Pick 'em selections from Ben Lyons https://t.co/n8MvzwFjgg"
'970298149926563840',"2018-03-04 14:01:20",'Oscars','y',7,13563586,13,"Timelapse shows crews transforming Hollywood's Dolby Theatre to prepare for the #Oscars red carpet.2026 https://t.co/Er1cy4C9LE"
'970298132415303681',"2018-03-04 14:01:16",'Oscars','y',31,2886,229,"All the best to you @HamillHimself at the #Oscars90 We are,all so proud of you, Mark and will be watching you and2026 https://t.co/wxLFnSvfnl"
'970298118062436352',"2018-03-04 14:01:13",'Oscars','n',0,1191,0,"#Oscars90  #Oscars @TheAcademy @Razzbender predicts the #Oscar2018 winners.@ABCNetwork@3Billboards2026 https://t.co/gItW0LpKdV"
'970298117622059009',"2018-03-04 14:01:13",'Oscars','y',5,4166,26,"The Cinephile #Oscars90 Confidence Pick 'em selections from Adnan Virk https://t.co/TKNn73mkD"
'970298099875885057',"2018-03-04 14:01:08",'Oscars','y',257,2881,559,"#RomanPolanski long over due for being honored with this...#Oscars90 #Oscars2018 #OscarWinners https://t.co/Y9wbHqJ3bK"
'970299018088722432',"2018-03-04 14:04:47",'Oscars','y',7,556,18,"GOOD LUCK! To all of the @CMBYNFilm Tonight! At the #oscars2018 hoping all nominations win!!! @RealChalamet is nomi2026 https://t.co/ArlW4jJ04R"
'970299015349899264',"2018-03-04 14:04:47",'Oscars','n',0,1298,0,"Here are my predictions for tonight. Best Sound Editing: Dunkirk. Best Sound Mixing: Baby Driver. The very best of2026 https://t.co/jS9FNdAucb"
'970298955971092480',"2018-03-04 14:04:33",'Oscars','y',123,61247,181,"#Oscars2018The night when elitists shove their million dollar lifestyles in our faces &amp; tell us what &amp; how the wo2026 https://t.co/RRxXh44Q1c"
'970298940225712128',"2018-03-04 14:04:29",'Oscars','y',123,61247,181,"#Oscars2018The night when elitists shove their million dollar lifestyles in our faces &amp; tell us what &amp; how the wo2026 https://t.co/RRxXh44Q1c"
